release_date,followers
2021-11-12,782
2019-04-01,146743
2021-05-06,381019
2021-10-01,878055
2016-02-02,68019
2015-12-02,2089472
2018-11-02,1136
2017-05-19,4584
2020-01-17,680021
2014-08-12,162102
1997-05-28,98577
2020-05-15,389666
2022-04-06,14210
2020-08-07,17935
2018-05-25,520735
2018-04-10,56637
2019-11-29,76718
2019-10-30,363097
2016-08-26,343598
2018-06-23,283119
2019-09-06,4758
2013-07-10,238342
2006-10-20,5356
2018-02-13,2649
2017-12-19,3073077
2018-12-17,56637
2022-08-17,5715131
2017-09-12,5715131
2015-04-28,3073077
2009-11-25,375617
2015-02-06,155525
2019-03-15,2814
2020-08-12,417094
2009-06-24,132908
2015-09-25,2477
2018-10-08,155525
1993-06-08,219238
2017-06-02,12326
2008-08-05,102833
2021-11-12,27949
2022-05-13,2915
2015-09-25,2477
2012-04-13,7303760
2005-01-01,450770
2022-07-11,146743
2007-01-01,3514
2007-09-18,1656488
2017-01-03,6254
2016-08-19,263607
2022-02-11,381019
2011-11-21,381019
2010-04-06,87390
2013-08-23,146743
2019-11-16,42394
2013-07-23,28258
2018-12-19,2089472
2021-11-22,1801
2018-12-07,7635
2020-01-17,680021
2019-09-09,5473
2018-02-09,105557
2015-08-14,43545
2017-11-17,12074
2020-02-07,4703788
2018-03-31,105557
2019-06-14,99147
2022-03-08,23730
2021-09-09,1663
2017-05-05,20618
2018-11-30,20673
2011-09-27,25275
2021-10-11,2387
1997,324004
2018-10-17,878055
2014-04-02,1032627
2012-06-15,417094
2017-04-05,94150
2020-07-01,552524
2012-07-24,3073077
2017-03-31,154446
2021-05-14,76718
2020-03-06,12104
2022-02-11,1656488
2015-07-28,35310
2018-06-22,6413
2007-09-18,1656488
1962-01-11,539959
2014-04-29,229919
2020-01-17,263607
2018-01-11,9581
2014-11-10,229919
2022-09-28,27949
2019-10-04,680021
2015-04-02,146743
2000,3487
2019-08-02,120624
2011-01-01,59141
2016-11-18,28161
2021-09-22,55982
2022-01-01,46343
2017-05-01,46343
2022-04-01,107590
2008,843026
2013-01-01,381019
2018-09-14,24926
2018-03-31,105557
2020-05-11,55050
2017-10-05,46253
2022-07-22,4703788
2018-10-29,105557
2019-09-27,11768
2022-09-23,1666
2016-09-09,99978
2012-01-26,802498
2018-03-31,105557
2002,253877
2021-04-02,19602
2021-11-10,14210
2020-01-24,3073077
2017-01-13,50032
2012-07-24,3073077
2016-07-15,5451
2018-07-13,7450
2014-04-15,802943
2017-01-27,802943
2022-04-28,2926
1976-02-03,66506
2009-05-20,1032627
2016-09-16,11024
2021-06-23,195733
